ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:25:37.330807,-57.31681830378559,-66.63270991102678,-47.589572136435685,-57.31681830378559,-57.31681830378559,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681830378559
2024-06-24 12:25:37.331236,-57.31681829948725,-66.49774336423188,-48.46153084469644,-57.31681829948725,-57.31681829948725,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681829948725
2024-06-24 12:25:37.331662,-57.31681829521898,-66.88939974778138,-47.87961199337612,-57.31681829521898,-57.31681829521898,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681829521898
2024-06-24 12:25:37.332085,-57.316818290980756,-67.4334843886901,-47.620228815147655,-57.316818290980756,-57.316818290980756,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818290980756
2024-06-24 12:25:37.332507,-57.31681828675255,-67.30268663820172,-48.60382520930293,-57.31681828675255,-57.31681828675255,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681828675255
2024-06-24 12:25:37.332981,-57.31681828200335,-66.97162324867413,-48.39220229071067,-57.31681828200335,-57.31681828200335,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681828200335
2024-06-24 12:25:37.333453,-57.316818277274166,-67.13958564701724,-47.5376217144239,-57.316818277274166,-57.316818277274166,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818277274166
2024-06-24 12:25:37.333845,-57.31681827334655,-66.71656279689022,-48.360701502619044,-57.31681827334655,-57.31681827334655,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681827334655
2024-06-24 12:25:37.334228,-57.3168182695091,-66.88520625663328,-49.03283505786794,-57.3168182695091,-57.3168182695091,0.0,0.0,0.0,0.0,0.0,0.0,-57.3168182695091
2024-06-24 12:25:37.334619,-57.31681826559151,-66.63335762208725,-48.62933110817442,-57.31681826559151,-57.31681826559151,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681826559151
2024-06-24 12:25:37.335004,-57.31681826173402,-66.09479743901724,-47.74491787219952,-57.31681826173402,-57.31681826173402,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681826173402
2024-06-24 12:25:37.335384,-57.316818257926634,-67.35953735024202,-47.63369381336717,-57.316818257926634,-57.316818257926634,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818257926634
2024-06-24 12:25:37.335759,-57.31681825416935,-66.24129304304714,-47.44690851692869,-57.31681825416935,-57.31681825416935,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681825416935
2024-06-24 12:25:37.336140,-57.316818250351936,-67.12330936027458,-47.525250808166916,-57.316818250351936,-57.316818250351936,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818250351936
2024-06-24 12:25:37.336580,-57.31681824594339,-67.08070386343279,-47.575167742235635,-57.31681824594339,-57.31681824594339,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681824594339
2024-06-24 12:25:37.337003,-57.316818241705164,-66.5905277454887,-47.86610096925565,-57.316818241705164,-57.316818241705164,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818241705164
2024-06-24 12:25:37.337440,-57.31681823732668,-66.57273375990287,-47.68464938536651,-57.31681823732668,-57.31681823732668,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681823732668
2024-06-24 12:25:37.337881,-57.3168182329081,-66.93277582646984,-48.19501203287421,-57.3168182329081,-57.3168182329081,0.0,0.0,0.0,0.0,0.0,0.0,-57.3168182329081
2024-06-24 12:25:37.338318,-57.31681822852961,-67.28196711379427,-47.593599702521836,-57.31681822852961,-57.31681822852961,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681822852961
2024-06-24 12:25:37.338746,-57.31681822424129,-66.75660246899751,-48.60008490098249,-57.31681822424129,-57.31681822424129,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681822424129
2024-06-24 12:25:37.339173,-57.31681821996299,-66.9944992517842,-47.558755663892065,-57.31681821996299,-57.31681821996299,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681821996299
2024-06-24 12:25:37.339601,-57.316818215674644,-66.22671509659897,-47.160850592414654,-57.316818215674644,-57.316818215674644,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818215674644
